http://www.datasciencecentral.com/profiles/blogs/check-out-our-dsc-newsletter:like 18,view 208817, facebook 0
http://www.datasciencecentral.com/profiles/blogs/statistical-modeling-steps:like 4,view 2797, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-science-as-a-profession-time-is-now:like 0,view 3331, facebook 0
http://www.datasciencecentral.com/profiles/blogs/look-it-up:like 1,view 789, facebook 0
http://www.datasciencecentral.com/profiles/blogs/magnum-opus-dolus-eventualis:like 0,view 226, facebook 0
http://www.datasciencecentral.com/profiles/blogs/teradata-aster-principal-component-analysis-and-unsupervised:like 1,view 344, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-much-do-data-scientists-really-earn:like 0,view 7152, facebook 0
http://www.datasciencecentral.com/profiles/blogs/case-study-from-mit-sloan-management-review-fostering-a-data-and:like 0,view 627, facebook 0
http://www.datasciencecentral.com/profiles/blogs/what-are-the-most-demanding-skills-in-the-analytics-domain:like 0,view 220, facebook 0
http://www.datasciencecentral.com/profiles/blogs/its-time-to-unleash-the-semantic-layer:like 0,view 979, facebook 0
http://www.datasciencecentral.com/profiles/blogs/what-roles-do-you-need-in-your-data-science-team:like 5,view 3755, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-june-29:like 0,view 933, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-to-choose-a-statistical-model:like 14,view 9051, facebook 0
http://www.datasciencecentral.com/profiles/blogs/demystifying-teradata-asterr-r-in-parallel-r-at-scale:like 0,view 756, facebook 0
http://www.datasciencecentral.com/profiles/blogs/cmo-cio-relationship-in-digital-world:like 0,view 319, facebook 0
http://www.datasciencecentral.com/profiles/blogs/opensource-python-visualization-libraries:like 0,view 3314, facebook 0
http://www.datasciencecentral.com/profiles/blogs/fantasy-sports-betting-the-next-big-thing-thanks-to-big-data:like 0,view 1154, facebook 0
http://www.datasciencecentral.com/profiles/blogs/7-tools-for-data-visualization-in-r-python-and-julia:like 1,view 3942, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-50-best-masters-in-data-science:like 0,view 4876, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-must-have-skills-you-need-to-become-a-data-scientist:like 2,view 3741, facebook 0
http://www.datasciencecentral.com/profiles/blogs/big-data-the-amazing-numbers-in-2015:like 2,view 3939, facebook 0
http://www.datasciencecentral.com/profiles/blogs/types-of-performance-metrics-everyone-must-differentiate:like 1,view 1089, facebook 0
http://www.datasciencecentral.com/profiles/blogs/structural-relationships-in-data:like 0,view 484, facebook 0
http://www.datasciencecentral.com/profiles/blogs/spectacular-patterns-found-in-rare-almost-random-numbers:like 3,view 6193, facebook 0
http://www.datasciencecentral.com/profiles/blogs/can-anyone-suggest-a-big-dataset-for-the-purpose-of-regression:like 1,view 137, facebook 0
http://www.datasciencecentral.com/profiles/blogs/a-database-of-police-killings-since-2013-by-justin-tenuto:like 2,view 460, facebook 0
http://www.datasciencecentral.com/profiles/blogs/business-analytics-in-engineering-procurement-and-inventory:like 0,view 111, facebook 0
http://www.datasciencecentral.com/profiles/blogs/opensource-robotics-projects:like 1,view 746, facebook 0
http://www.datasciencecentral.com/profiles/blogs/big-data-3-data-issues:like 3,view 946, facebook 0
http://www.datasciencecentral.com/profiles/blogs/what-are-the-differences-between-quantitative-and-qualitative:like 3,view 1984, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-june-22:like 0,view 646, facebook 0
http://www.datasciencecentral.com/profiles/blogs/taking-control-of-your-crm-data:like 0,view 532, facebook 0
http://www.datasciencecentral.com/profiles/blogs/python-nlp-tools:like 2,view 3922, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-to-establish-quality-and-correctness-of-classification-models:like 1,view 972, facebook 0
http://www.datasciencecentral.com/profiles/blogs/visualize-your-social-media-analytics:like 3,view 2959, facebook 0
http://www.datasciencecentral.com/profiles/blogs/use-cases-for-text-analytics:like 0,view 2115, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-to-avoid-a-data-disaster-infographic:like 1,view 1117, facebook 0
http://www.datasciencecentral.com/profiles/blogs/elastic-is-a-great-paradigm-when-all-you-can-eat-data-consumption:like 0,view 288, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-structure-graph-the-application-of-graph-theory-to-architect:like 1,view 1091, facebook 0
http://www.datasciencecentral.com/profiles/blogs/reducing-data-cleansing-time-to-get-actionable-insights-faster:like 1,view 2622, facebook 0
http://www.datasciencecentral.com/profiles/blogs/feature-scaling-and-normalization:like 1,view 1397, facebook 0
http://www.datasciencecentral.com/profiles/blogs/decision-boundaries-for-deep-learning-and-other-machine-learning-:like 2,view 1898, facebook 0
http://www.datasciencecentral.com/profiles/blogs/what-are-data-scientists-interested-in-insights-from-our-search-e:like 1,view 1567, facebook 0
http://www.datasciencecentral.com/profiles/blogs/harnessing-big-data-for-security-intelligence-in-the-era-of-cyber:like 1,view 659, facebook 0
http://www.datasciencecentral.com/profiles/blogs/document-similarity-analysis-using-elasticsearch-and-python:like 2,view 3522, facebook 0
http://www.datasciencecentral.com/profiles/blogs/free-on-demand-data-science-program-to-quickly-become-a-data-scie:like 20,view 12463, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-quantified-workplace-big-data-or-big-brother:like 0,view 499, facebook 0
http://www.datasciencecentral.com/profiles/blogs/big-data-in-the-amazing-world-of-gaming:like 3,view 2391, facebook 0
http://www.datasciencecentral.com/profiles/blogs/tools-to-automate-tmore-time-to-innovate:like 0,view 455, facebook 0
http://www.datasciencecentral.com/profiles/blogs/7-amazing-big-data-myths:like 3,view 1948, facebook 0
http://www.datasciencecentral.com/profiles/blogs/newsql-rdbms-on-steroids:like 1,view 1097, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-june-15:like 0,view 1015, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-is-immortal-but-not-immune-to-decay:like 0,view 689, facebook 0
http://www.datasciencecentral.com/profiles/blogs/discover-how-much-good-traffic-a-scammer-gets-from-one-spam-email:like 0,view 844, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-is-big-data-changing-the-world:like 2,view 3130, facebook 0
http://www.datasciencecentral.com/profiles/blogs/your-math-is-all-wrong-flipping-the-80-20-rule-for-analytics:like 4,view 2609, facebook 0
http://www.datasciencecentral.com/profiles/blogs/naive-bayes-for-dummies-a-simple-explanation:like 6,view 4724, facebook 0
http://www.datasciencecentral.com/profiles/blogs/regression-prediction-using-aws-machine-learning:like 0,view 1643, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-science-the-numbers-game-law-almost-lost:like 2,view 859, facebook 0
http://www.datasciencecentral.com/profiles/blogs/top-five-data-science-masters-programs:like 2,view 10638, facebook 0
http://www.datasciencecentral.com/profiles/blogs/predicting-records-highs-or-lows-how-to-do-it-right:like 1,view 2099, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-science-weekly-digest-june-8:like 0,view 732, facebook 0
http://www.datasciencecentral.com/profiles/blogs/7-key-ingredients-for-knock-out-data-visualizations:like 0,view 3305, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-scientists-are-improving-the-world:like 0,view 802, facebook 0
http://www.datasciencecentral.com/profiles/blogs/environmental-monitoring-using-big-data:like 5,view 1203, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-science-summer-reading-list-2015:like 4,view 3553, facebook 0
http://www.datasciencecentral.com/profiles/blogs/optimizing-your-search-functionality-on-your-website:like 1,view 343, facebook 0
http://www.datasciencecentral.com/profiles/blogs/plotting-top-selling-used-car-total-prices-on-the-us-map-using-r:like 2,view 3176, facebook 0
http://www.datasciencecentral.com/profiles/blogs/nfl-play-by-play-analysis-using-cloudera-impala:like 2,view 1002, facebook 0
http://www.datasciencecentral.com/profiles/blogs/ontology-for-data-science-2:like 2,view 1814, facebook 0
http://www.datasciencecentral.com/profiles/blogs/healthcare-industry-finds-new-solutions-to-big-data-storage:like 2,view 892, facebook 0
http://www.datasciencecentral.com/profiles/blogs/machine-learning-is-not-the-boogie-man-gates-and-musk-are-wrong:like 0,view 1290, facebook 0
http://www.datasciencecentral.com/profiles/blogs/of-alchemy-and-algorithmic-lawyers:like 0,view 575, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-june-1:like 0,view 584, facebook 0
http://www.datasciencecentral.com/profiles/blogs/what-clustering-method-is-required-for-text-documents:like 0,view 238, facebook 0
http://www.datasciencecentral.com/profiles/blogs/simple-regression-use-in-big-data:like 4,view 2030, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-to-determine-the-quality-and-correctness-of-classification:like 0,view 1446, facebook 0
http://www.datasciencecentral.com/profiles/blogs/virtual-org-and-behaviour-by-transaction:like 0,view 158, facebook 0
http://www.datasciencecentral.com/profiles/blogs/two-interesting-data-science-startups-in-seattle:like 1,view 2094, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-apple-uses-big-data-to-drive-success:like 2,view 4871, facebook 0
http://www.datasciencecentral.com/profiles/blogs/big-data-uncovering-the-secrets-of-our-universe-at-cern:like 3,view 2065, facebook 0
http://www.datasciencecentral.com/profiles/blogs/10-python-machine-learning-projects-on-github:like 10,view 17255, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-integrity-the-rest-of-the-story-part-ii:like 2,view 1645, facebook 0
http://www.datasciencecentral.com/profiles/blogs/measuring-information-retrieval-performance-using-extrapolated:like 1,view 448, facebook 0
http://www.datasciencecentral.com/profiles/blogs/9-python-analytics-libraries-1:like 4,view 6776, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-may-25:like 0,view 669, facebook 0
http://www.datasciencecentral.com/profiles/blogs/100-best-data-science-companies-to-work-for-in-2015:like 2,view 13371, facebook 0
http://www.datasciencecentral.com/profiles/blogs/what-defines-a-big-data-scenario:like 2,view 1303, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-do-i-become-a-data-scientist-2:like 7,view 10061, facebook 0
http://www.datasciencecentral.com/profiles/blogs/7-techniques-for-spam-detection-1:like 0,view 863, facebook 0
http://www.datasciencecentral.com/profiles/blogs/predictive-analytics-demystified:like 2,view 1384, facebook 0
http://www.datasciencecentral.com/profiles/blogs/welcome-to-sparkling-land:like 4,view 1152, facebook 0
http://www.datasciencecentral.com/profiles/blogs/i-don-t-care-if-you-don-t-need-to-know-about-cancer-we-all-do:like 7,view 1819, facebook 0
http://www.datasciencecentral.com/profiles/blogs/an-introduction-to-deep-learning-and-it-s-role-for-iot-future:like 3,view 4019, facebook 0
http://www.datasciencecentral.com/profiles/blogs/database-driven-approach-vs-rabbitmq-vs-ironmq-web-crawling:like 0,view 1787, facebook 0
http://www.datasciencecentral.com/profiles/blogs/experimenting-with-aws-machine-learning-for-classification:like 2,view 3310, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-hand-book-of-data-science:like 1,view 7866, facebook 0
http://www.datasciencecentral.com/profiles/blogs/self-learning-machines-deep-convolutional-neural-networks:like 0,view 2733, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-institutional-response:like 0,view 84, facebook 0
http://www.datasciencecentral.com/profiles/blogs/there-is-no-analytics-without-data-management-an-imperative-for:like 2,view 691, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-science-and-its-problems:like 0,view 817, facebook 0
http://www.datasciencecentral.com/profiles/blogs/were-the-election-polls-marred-by-poor-quality-data:like 0,view 360, facebook 0
http://www.datasciencecentral.com/profiles/blogs/internet-of-things-iot-employers-job-titles-locations:like 3,view 2092, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-may-18:like 1,view 496, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-to-cross-link-data-and-why-you-should-do-so:like 2,view 346, facebook 0
http://www.datasciencecentral.com/profiles/blogs/columbia-data-science-course-week-1-what-is-data-science:like 3,view 2316, facebook 0
http://www.datasciencecentral.com/profiles/blogs/tutorial-how-to-determine-the-quality-and-correctness-of:like 2,view 3492, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-science-wars-r-versus-python:like 16,view 19257, facebook 0
http://www.datasciencecentral.com/profiles/blogs/mobile-led-screens-advertising-on-wheels:like 0,view 246, facebook 0
http://www.datasciencecentral.com/profiles/blogs/where-big-data-projects-fail:like 2,view 5519, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-to-make-a-billion-dollars-from-big-data:like 0,view 2929, facebook 0
http://www.datasciencecentral.com/profiles/blogs/polyglot-persistence:like 1,view 669, facebook 0
http://www.datasciencecentral.com/profiles/blogs/are-you-becoming-a-digital-dinosaur:like 1,view 1080, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-modeling-and-the-open-world-assumption:like 1,view 2190, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-amazing-ways-uber-is-using-big-data:like 4,view 9110, facebook 0
http://www.datasciencecentral.com/profiles/blogs/from-farming-to-big-data-the-amazing-story-of-john-deere:like 2,view 5408, facebook 0
http://www.datasciencecentral.com/profiles/blogs/giving-away-1-000-copies-of-big-data-in-action:like 5,view 2845, facebook 0
http://www.datasciencecentral.com/profiles/blogs/using-python-on-azure-machine-learning-studio:like 1,view 2459, facebook 0
http://www.datasciencecentral.com/profiles/blogs/anomaly-detection-how-to-analyze-your-predictable-data:like 1,view 2452, facebook 0
http://www.datasciencecentral.com/profiles/blogs/good-cloud-bad-cloud-why-cloud:like 1,view 440, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-may-11:like 0,view 659, facebook 0
http://www.datasciencecentral.com/profiles/blogs/selecting-a-remote-dba-professional-over-a-full-time-consultant:like 0,view 487, facebook 0
http://www.datasciencecentral.com/profiles/blogs/are-you-a-data-hoarder-learn-how-to-manage-the-clutter:like 0,view 449, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-scientists-thoughts-that-inspired-me:like 3,view 2703, facebook 0
http://www.datasciencecentral.com/profiles/blogs/from-data-to-insight-uncovering-the-hidden-costs-of-data:like 1,view 750, facebook 0
http://www.datasciencecentral.com/profiles/blogs/sensitivity-mapping-of-document-databases:like 0,view 227, facebook 0
http://www.datasciencecentral.com/profiles/blogs/early-reviews-for-my-upcoming-publication-on-machine-learning:like 2,view 345, facebook 0
http://www.datasciencecentral.com/profiles/blogs/analyzing-customer-data-in-sales-marketing-part-2:like 2,view 1184, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-integrity-the-rest-of-the-story-part-i:like 0,view 513, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-circus-circus-data-the-big-three-dead-for-a-day-is-not-ok:like 0,view 191, facebook 0
http://www.datasciencecentral.com/profiles/blogs/smart-data-iot-analytics-for-manufacturing-and-process-industries:like 0,view 1099, facebook 0
http://www.datasciencecentral.com/profiles/blogs/what-is-your-plan-for-cultivating-analytics-talent:like 1,view 1816, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-big-data-and-the-internet-of-things-create-smart-cities:like 4,view 4459, facebook 0
http://www.datasciencecentral.com/profiles/blogs/big-data-hype-but-why-that-doesn-t-matter:like 0,view 2805, facebook 0
http://www.datasciencecentral.com/profiles/blogs/what-type-of-business-intelligence-tools-are-companies-investing:like 0,view 1808, facebook 0
http://www.datasciencecentral.com/profiles/blogs/use-of-data-analytics-by-print-and-digital-publishers-to-increase:like 0,view 933, facebook 0
http://www.datasciencecentral.com/profiles/blogs/text-analysis-101-explicit-semantic-analysis-esa-explained:like 2,view 2745, facebook 0
http://www.datasciencecentral.com/profiles/blogs/mobile-banking-can-analytics-help-banks-innovate:like 0,view 317, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-may-4:like 0,view 600, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-we-survived-a-near-death-experience-in-a-big-data-project-a:like 0,view 1109, facebook 0
http://www.datasciencecentral.com/profiles/blogs/short-story-on-scaling-an-nlp-problem-without-using-a-ton-of:like 1,view 1386, facebook 0
http://www.datasciencecentral.com/profiles/blogs/big-data-meet-dynamic-semantic-publishing-altering-the-media:like 1,view 414, facebook 0
http://www.datasciencecentral.com/profiles/blogs/do-your-customers-hide-their-data:like 0,view 404, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-3ms-of-marketing-data-analytics:like 2,view 1336, facebook 0
http://www.datasciencecentral.com/profiles/blogs/what-is-the-internet-of-everything-ioe:like 5,view 5909, facebook 0
http://www.datasciencecentral.com/profiles/blogs/openstreetmap-visualization-case-study-sample-code:like 1,view 902, facebook 0
http://www.datasciencecentral.com/profiles/blogs/clustering-arabic-tweets-to-seize-the-reputation-of-a-brand-in:like 0,view 269, facebook 0
http://www.datasciencecentral.com/profiles/blogs/visualizing-nepal-earthquake-the-human-side-of-data-science:like 3,view 2152, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-big-data-and-business-intelligence-twins-to-the-rescue-of:like 0,view 596, facebook 0
http://www.datasciencecentral.com/profiles/blogs/using-historical-data-in-the-age-of-real-time-decision-making:like 1,view 1595, facebook 0
http://www.datasciencecentral.com/profiles/blogs/analysis-of-insurance-analytics-careers-job-postings:like 0,view 521, facebook 0
http://www.datasciencecentral.com/profiles/blogs/biostatistics-careers-for-data-scientists:like 0,view 763, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-big-data-can-terrorize-global-terrorism-1:like 0,view 396, facebook 0
http://www.datasciencecentral.com/profiles/blogs/taming-big-data:like 0,view 407, facebook 0
http://www.datasciencecentral.com/profiles/blogs/what-is-the-profession-of-data-science-really-about-now-and-in:like 5,view 5320, facebook 0
http://www.datasciencecentral.com/profiles/blogs/1-300-technical-data-science-terns-defined:like 1,view 2393, facebook 0
http://www.datasciencecentral.com/profiles/blogs/analyzing-customer-data-in-sales-marketing-part-1:like 3,view 1566, facebook 0
http://www.datasciencecentral.com/profiles/blogs/36-computer-and-data-science-explained-in-layman-s-terms:like 1,view 3369, facebook 0
http://www.datasciencecentral.com/profiles/blogs/making-mysql-5-888-6x-faster-yep-you-read-that-right:like 3,view 1697, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-governance-101:like 0,view 817, facebook 0
http://www.datasciencecentral.com/profiles/blogs/using-big-data-to-target-in-market-shoppers:like 0,view 583, facebook 0
http://www.datasciencecentral.com/profiles/blogs/visualize-your-data-using-silk-io:like 3,view 1741, facebook 0
http://www.datasciencecentral.com/profiles/blogs/rethinkdb-for-your-advanced-analytics:like 0,view 987, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-april-27:like 1,view 574, facebook 0
http://www.datasciencecentral.com/profiles/blogs/you-are-your-own-worst-enemy-maybe:like 5,view 1080, facebook 0
http://www.datasciencecentral.com/profiles/blogs/sexing-up-big-data-s-dodgy-dossier:like 1,view 399, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-do-i-learn-machine-learning:like 9,view 10124, facebook 0
http://www.datasciencecentral.com/profiles/blogs/from-data-to-insight-seven-tips-for-a-great-data-strategy:like 1,view 1405, facebook 0
http://www.datasciencecentral.com/profiles/blogs/human-translation-vs-google-translate-in-2015:like 0,view 423, facebook 0
http://www.datasciencecentral.com/profiles/blogs/big-data-explained-in-less-than-2-minutes-to-absolutely-anyone:like 10,view 15152, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-7-most-data-rich-companies-in-the-world:like 2,view 8242, facebook 0
http://www.datasciencecentral.com/profiles/blogs/quality-of-things:like 0,view 406, facebook 0
http://www.datasciencecentral.com/profiles/blogs/analyzing-text-in-rapidminer:like 0,view 179, facebook 0
http://www.datasciencecentral.com/profiles/blogs/big-data-is-big-business:like 0,view 350, facebook 0
http://www.datasciencecentral.com/profiles/blogs/an-excel-tutorial-on-analyzing-large-data-sets:like 4,view 5228, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-april-20:like 1,view 734, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-7-most-unusual-applications-of-big-data-you-ve-ever-seen:like 2,view 6522, facebook 0
http://www.datasciencecentral.com/profiles/blogs/enhance-your-crm-data-to-sharpen-your-sales-pitch:like 0,view 309, facebook 0
http://www.datasciencecentral.com/profiles/blogs/calculate-cosine-similarity-using-scipy-data-sets-sample-code:like 0,view 1308, facebook 0
http://www.datasciencecentral.com/profiles/blogs/it-s-time-to-bring-your-own-data:like 4,view 1537, facebook 0
http://www.datasciencecentral.com/profiles/blogs/driving-behaviour-as-a-telematic-fingerprint:like 1,view 1013, facebook 0
http://www.datasciencecentral.com/profiles/blogs/evaluating-rf-for-survival-analysis-using-prediction-error-curves:like 0,view 110, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-5-v-s-of-big-data-by-bernard-marr:like 2,view 7265, facebook 0
http://www.datasciencecentral.com/profiles/blogs/that-s-data-science-airbus-puts-10-000-sensors-in-every-single:like 8,view 8640, facebook 0
http://www.datasciencecentral.com/profiles/blogs/a-data-scientist-s-advice-to-business-schools:like 1,view 2102, facebook 0
http://www.datasciencecentral.com/profiles/blogs/top-5-disruptive-technologies-that-will-change-the-world:like 0,view 2473, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-easy-way-big-data-can-be-accessed-with-data-as-a-service:like 3,view 1037, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-hype-around-graph-databases-and-why-it-matters:like 8,view 2238, facebook 0
http://www.datasciencecentral.com/profiles/blogs/tuning-machine-learning-models-using-the-caret-r-package:like 0,view 404, facebook 0
http://www.datasciencecentral.com/profiles/blogs/four-techniques-to-apply-in-the-design-of-data-heavy-applications:like 4,view 710, facebook 0
http://www.datasciencecentral.com/profiles/blogs/building-an-ncaa-men-s-basketball-predictive-model:like 0,view 210, facebook 0
http://www.datasciencecentral.com/profiles/blogs/cloud-based-analytics-coming-clash-of-the-titans:like 2,view 996, facebook 0
http://www.datasciencecentral.com/profiles/blogs/mega-collection-of-data-science-books-and-terminology:like 6,view 5881, facebook 0
http://www.datasciencecentral.com/profiles/blogs/ten-general-principles-in-data-mining-science:like 2,view 2543, facebook 0
http://www.datasciencecentral.com/profiles/blogs/1000-new-functions-for-your-spreadsheet-w-blockspring:like 4,view 2750, facebook 0
http://www.datasciencecentral.com/profiles/blogs/what-technology-tool-skills-do-data-scientists-jobs-require:like 3,view 4635, facebook 0
http://www.datasciencecentral.com/profiles/blogs/participate-in-2015-data-science-data-miner-survey:like 0,view 820, facebook 0
http://www.datasciencecentral.com/profiles/blogs/ideal-qualifications-govt-data-scientist-ds:like 0,view 618, facebook 0
http://www.datasciencecentral.com/profiles/blogs/big-data-from-a-junk-yard-to-a-gold-mine:like 2,view 625, facebook 0
http://www.datasciencecentral.com/profiles/blogs/meet-the-new-chief-data-scientist-of-the-united-states-government:like 0,view 1751, facebook 0
http://www.datasciencecentral.com/profiles/blogs/6-cloud-based-machine-learning-services:like 7,view 6685, facebook 0
http://www.datasciencecentral.com/profiles/blogs/abridged-list-of-machine-learning-topics:like 4,view 1868, facebook 0
http://www.datasciencecentral.com/profiles/blogs/50-great-data-visualizations:like 1,view 10207, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-april-6:like 1,view 464, facebook 0
http://www.datasciencecentral.com/profiles/blogs/drill-data-with-apache-drill:like 1,view 913, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-art-of-data-science-part-2:like 2,view 1272, facebook 0
http://www.datasciencecentral.com/profiles/blogs/etl-as-a-new-data-fusion-paradigm:like 0,view 358, facebook 0
http://www.datasciencecentral.com/profiles/blogs/predicting-flights-delay-using-supervised-learning:like 3,view 3879, facebook 0
http://www.datasciencecentral.com/profiles/blogs/model-management-and-deployment:like 0,view 617, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-a-chief-data-officer-can-make-your-data-great:like 4,view 1286, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-march-30:like 1,view 437, facebook 0
http://www.datasciencecentral.com/profiles/blogs/a-5-step-approach-for-manufacturers-to-manage-their-marketing:like 0,view 557, facebook 0
http://www.datasciencecentral.com/profiles/blogs/do-data-scientists-need-to-be-domain-experts-to-deliver-good:like 11,view 4426, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-data-science-ecosystem-in-one-tidy-infographic:like 6,view 7003, facebook 0
http://www.datasciencecentral.com/profiles/blogs/can-you-be-a-growth-hacker-without-being-a-data-scientist:like 3,view 1992, facebook 0
http://www.datasciencecentral.com/profiles/blogs/be-as-smart-as-your-devices-learn-about-big-data:like 0,view 969, facebook 0
http://www.datasciencecentral.com/profiles/blogs/predicting-car-prices-part-1-linear-regression:like 11,view 5445, facebook 0
http://www.datasciencecentral.com/profiles/blogs/predicting-car-prices-part-2-using-neural-network:like 5,view 3336, facebook 0
http://www.datasciencecentral.com/profiles/blogs/value-liquidity-cycle:like 0,view 350, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-past-entity-attribute-value-vs-the-future-sign-signifier:like 0,view 1505, facebook 0
http://www.datasciencecentral.com/profiles/blogs/impact-of-target-class-proportions-on-accuracy-of-classification:like 3,view 1356, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-to-ask-an-analyst-a-question:like 2,view 1061, facebook 0
http://www.datasciencecentral.com/profiles/blogs/mining-web-pages-in-parallel:like 2,view 1518, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-march-23:like 0,view 435, facebook 0
http://www.datasciencecentral.com/profiles/blogs/hacking-y-combinator:like 1,view 1798, facebook 0
http://www.datasciencecentral.com/profiles/blogs/smart-big-data-the-all-important-90-10-rule:like 8,view 6951, facebook 0
http://www.datasciencecentral.com/profiles/blogs/100-r-packages:like 12,view 9886, facebook 0
http://www.datasciencecentral.com/profiles/blogs/real-time-analytics-weather:like 0,view 1663, facebook 0
http://www.datasciencecentral.com/profiles/blogs/call-for-papers-injury-surveillance-next-generation:like 0,view 78, facebook 0
http://www.datasciencecentral.com/profiles/blogs/do-you-really-need-a-unicorn:like 0,view 1617, facebook 0
http://www.datasciencecentral.com/profiles/blogs/book-review-be-in-winner-in-the-big-data-revolution:like 0,view 1113, facebook 0
http://www.datasciencecentral.com/profiles/blogs/40-maps-that-explain-the-internet-1:like 0,view 5936, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-evolution-of-a-data-driven-startup:like 0,view 1265, facebook 0
http://www.datasciencecentral.com/profiles/blogs/is-spark-the-data-platform-of-the-future:like 4,view 3206, facebook 0
http://www.datasciencecentral.com/profiles/blogs/contradictions-of-big-data:like 2,view 1830, facebook 0
http://www.datasciencecentral.com/profiles/blogs/8-factors-to-consider-before-buying-bi-software:like 0,view 888, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-march-16:like 0,view 525, facebook 0
http://www.datasciencecentral.com/profiles/blogs/powering-patient-care-using-big-data:like 2,view 702, facebook 0
http://www.datasciencecentral.com/profiles/blogs/three-periodic-tables-for-data-scientists:like 2,view 4944, facebook 0
http://www.datasciencecentral.com/profiles/blogs/two-periodic-tables-for-data-scientists:like 5,view 5999, facebook 0
http://www.datasciencecentral.com/profiles/blogs/infographics-the-half-life-of-data:like 0,view 1476, facebook 0
http://www.datasciencecentral.com/profiles/blogs/mass-compromise-of-iis-shared-web-hosting-for-blackhat-seo-a-case:like 0,view 586, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-data-can-help-law-school-applicants-get-into-the-program-of:like 0,view 1041, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-for-everyone-why-crowdflower-created-an-open-source-data:like 0,view 55, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-integrity-a-sequence-of-words-lost-in-the-world-of-big-data:like 2,view 1437, facebook 0
http://www.datasciencecentral.com/profiles/blogs/algorithmic-sensitivity-to-social-phenomena-using-fractals:like 0,view 460, facebook 0
